"","cuenca","year","month","pp_mes"
"506",103,1979,2,52.4819487899043
"507",103,1979,3,89.8046324316944
"508",103,1979,4,78.3693681700564
"509",103,1979,5,456.819639389079
"510",103,1979,6,197.836767242877
"511",103,1979,7,399.125019331211
"512",103,1979,8,588.734701820939
"513",103,1979,9,254.820050466389
"514",103,1979,10,198.243623634322
"515",103,1979,11,184.211223638975
"516",103,1979,12,191.86663556575
"517",103,1980,1,75.4117974032167
"518",103,1980,2,239.811872482301
"519",103,1980,3,155.010472529233
"520",103,1980,4,343.358850209546
"521",103,1980,5,515.747480039109
"522",103,1980,6,331.356041135828
"523",103,1980,7,326.825839455394
"524",103,1980,8,346.043775388314
"525",103,1980,9,173.405193041494
"526",103,1980,10,36.0703785425861
"527",103,1980,11,178.977779758757
"528",103,1980,12,164.012837228944
"529",103,1981,1,176.701872042933
"530",103,1981,2,54.9724194525372
"531",103,1981,3,151.218419045262
"532",103,1981,4,161.549936397715
"533",103,1981,5,626.800527608079
"534",103,1981,6,284.397206861058
"535",103,1981,7,299.053836443918
"536",103,1981,8,213.441701350828
"537",103,1981,9,258.507295255556
"538",103,1981,10,124.629075195322
"539",103,1981,11,99.6890783046444
"540",103,1981,12,114.62591533506
"541",103,1982,1,155.214856625506
"542",103,1982,2,95.6069952243642
"543",103,1982,3,126.829841190631
"544",103,1982,4,94.0210011908256
"545",103,1982,5,441.717908193267
"546",103,1982,6,414.045864456393
"547",103,1982,7,401.364615417797
"548",103,1982,8,345.605662287229
"549",103,1982,9,241.203288659879
"550",103,1982,10,245.876793624461
"551",103,1982,11,142.123054667394
"552",103,1982,12,30.2963337701167
"553",103,1983,1,96.4903067218767
"554",103,1983,2,37.1773683654712
"555",103,1983,3,106.208543169332
"556",103,1983,4,191.212330779386
"557",103,1983,5,223.597342543412
"558",103,1983,6,301.189692035377
"559",103,1983,7,311.025526157794
"560",103,1983,8,255.6782263924
"561",103,1983,9,262.832152273672
"562",103,1983,10,140.876380103367
"563",103,1983,11,34.2655243837983
"564",103,1983,12,39.3045496893811
"565",103,1984,1,117.022774745197
"566",103,1984,2,155.056538281347
"567",103,1984,3,84.0453529590339
"568",103,1984,4,141.706149517914
"569",103,1984,5,403.702079516871
"570",103,1984,6,330.688770944741
"571",103,1984,7,284.698663981235
"572",103,1984,8,141.065823708505
"573",103,1984,9,214.024335263785
"574",103,1984,10,335.145194567322
"575",103,1984,11,105.779194874416
"576",103,1984,12,95.9241503006811
"577",103,1985,1,108.935889537533
"578",103,1985,2,108.650117521672
"579",103,1985,3,143.407917051956
"580",103,1985,4,262.836983850964
"581",103,1985,5,471.901100004006
"582",103,1985,6,363.188496894571
"583",103,1985,7,257.450287256072
"584",103,1985,8,187.746782123694
"585",103,1985,9,228.774103618691
"586",103,1985,10,140.502841102376
"587",103,1985,11,137.036604715294
"588",103,1985,12,67.5434553021078
"589",103,1986,1,99.1522163534692
"590",103,1986,2,136.011662516885
"591",103,1986,3,146.839192438934
"592",103,1986,4,316.659061343901
"593",103,1986,5,413.303669403216
"594",103,1986,6,419.141621982778
"595",103,1986,7,234.414045276836
"596",103,1986,8,317.898824506076
"597",103,1986,9,204.503024348156
"598",103,1986,10,119.04660711032
"599",103,1986,11,262.533326926838
"600",103,1986,12,48.1253552017122
"601",103,1987,1,37.5572285352929
"602",103,1987,2,44.9895615959995
"603",103,1987,3,180.744457981043
"604",103,1987,4,223.950673770641
"605",103,1987,5,221.583315793429
"606",103,1987,6,280.140654979378
"607",103,1987,7,491.220616525413
"608",103,1987,8,256.719413374572
"609",103,1987,9,209.25634099856
"610",103,1987,10,184.108906460468
"611",103,1987,11,106.00618869124
"612",103,1987,12,101.945432667218
"613",103,1988,1,102.821110034855
"614",103,1988,2,4.81533608961839
"615",103,1988,3,139.020171185894
"616",103,1988,4,154.269785373001
"617",103,1988,5,142.806408614433
"618",103,1988,6,338.101862369606
"619",103,1988,7,163.145855853517
"620",103,1988,8,335.442168335203
"621",103,1988,9,132.349033218257
"622",103,1988,10,199.367689585533
"623",103,1988,11,81.6740219591511
"624",103,1988,12,133.773601146158
"625",103,1989,1,84.6183594297252
"626",103,1989,2,63.9740443367783
"627",103,1989,3,116.516728639677
"628",103,1989,4,149.391089941583
"629",103,1989,5,122.919564375
"630",103,1989,6,341.276014423999
"631",103,1989,7,320.447426214707
"632",103,1989,8,365.469191792147
"633",103,1989,9,110.28136725649
"634",103,1989,10,109.939748320799
"635",103,1989,11,80.2545771920344
"636",103,1989,12,278.588890522895
"637",103,1990,1,100.339382033828
"638",103,1990,2,81.6446499642627
"639",103,1990,3,152.580235636126
"640",103,1990,4,258.456838574269
"641",103,1990,5,377.384450193609
"642",103,1990,6,289.489359490977
"643",103,1990,7,249.747653410694
"644",103,1990,8,293.041635877059
"645",103,1990,9,278.618642397665
"646",103,1990,10,162.616396961806
"647",103,1990,11,123.38924159559
"648",103,1990,12,103.076676163472
"649",103,1991,1,72.306015874405
"650",103,1991,2,60.9686086544111
"651",103,1991,3,96.4393973332634
"652",103,1991,4,167.786851019196
"653",103,1991,5,380.708829764956
"654",103,1991,6,192.745046671681
"655",103,1991,7,329.336632449067
"656",103,1991,8,236.406488154106
"657",103,1991,9,248.892970662832
"658",103,1991,10,124.057099784147
"659",103,1991,11,101.00108201861
"660",103,1991,12,334.896316787843
"661",103,1992,1,2.96573959154444
"662",103,1992,2,113.455118146282
"663",103,1992,3,141.005661937243
"664",103,1992,4,229.414515760949
"665",103,1992,5,338.640180311718
"666",103,1992,6,364.179783653778
"667",103,1992,7,169.580085269466
"668",103,1992,8,187.234204952931
"669",103,1992,9,255.05644898684
"670",103,1992,10,296.228365254653
"671",103,1992,11,86.46723574633
"672",103,1992,12,182.947491134944
"673",103,1993,1,83.22167656025
"674",103,1993,2,35.1098922166306
"675",103,1993,3,277.181161196
"676",103,1993,4,295.663755016091
"677",103,1993,5,422.916551580294
"678",103,1993,6,480.200265130556
"679",103,1993,7,367.042830579436
"680",103,1993,8,187.049599286003
"681",103,1993,9,98.3584397984327
"682",103,1993,10,143.593697856504
"683",103,1993,11,166.177955752795
"684",103,1993,12,140.258735408098
"685",103,1994,1,78.0346660532364
"686",103,1994,2,73.9931849460506
"687",103,1994,3,82.9070807894229
"688",103,1994,4,253.520142482761
"689",103,1994,5,401.650823327404
"690",103,1994,6,400.599331439991
"691",103,1994,7,329.482914835606
"692",103,1994,8,247.061469526571
"693",103,1994,9,285.014714501646
"694",103,1994,10,190.253296776753
"695",103,1994,11,235.945792451544
"696",103,1994,12,156.683589829803
"697",103,1995,1,113.433936926803
"698",103,1995,2,24.6929983253461
"699",103,1995,3,89.6637069097167
"700",103,1995,4,258.05509366915
"701",103,1995,5,249.629077908983
"702",103,1995,6,493.995344618661
"703",103,1995,7,360.275431496272
"704",103,1995,8,347.053518922324
"705",103,1995,9,118.912424869329
"706",103,1995,10,175.122174232771
"707",103,1995,11,88.0592549917244
"708",103,1995,12,8.80189533890556
"709",103,1996,1,69.5511356131095
"710",103,1996,2,118.49263661679
"711",103,1996,3,158.278332318583
"712",103,1996,4,158.653686426964
"713",103,1996,5,220.809002037725
"714",103,1996,6,174.096956607252
"715",103,1996,7,151.350576066859
"716",103,1996,8,316.903015918527
"717",103,1996,9,127.633754534307
"718",103,1996,10,157.567992640533
"719",103,1996,11,143.593536001117
"720",103,1996,12,86.5071782741689
"721",103,1997,1,178.195127693043
"722",103,1997,2,78.3865636040033
"723",103,1997,3,44.0854647766006
"724",103,1997,4,405.217059714328
"725",103,1997,5,171.874020801374
"726",103,1997,6,438.75646817455
"727",103,1997,7,463.843127476744
"728",103,1997,8,235.447774462113
"729",103,1997,9,223.856794790092
"730",103,1997,10,251.441380483863
"731",103,1997,11,213.631521349622
"732",103,1997,12,116.384884403835
"733",103,1998,1,68.9061252276874
"734",103,1998,2,37.8977109181667
"735",103,1998,3,93.4159281702778
"736",103,1998,4,109.228443191313
"737",103,1998,5,165.833910029081
"738",103,1998,6,220.166351862586
"739",103,1998,7,201.339055878014
"740",103,1998,8,270.008892293194
"741",103,1998,9,110.619051163034
"742",103,1998,10,59.454228939845
"743",103,1998,11,67.0508688738661
"744",103,1998,12,64.8055912065695
"745",103,1999,1,45.5478394956378
"746",103,1999,2,73.3975035261072
"747",103,1999,3,126.871006764483
"748",103,1999,4,78.6539311357477
"749",103,1999,5,220.270134372622
"750",103,1999,6,372.827134648344
"751",103,1999,7,224.27751521028
"752",103,1999,8,368.442818764704
"753",103,1999,9,251.946005472174
"754",103,1999,10,72.089370762545
"755",103,1999,11,97.5973796706261
"756",103,1999,12,89.74767675475
"757",103,2000,1,67.5276736582433
"758",103,2000,2,206.128198826207
"759",103,2000,3,123.278210489818
"760",103,2000,4,152.06186365217
"761",103,2000,5,150.259104902979
"762",103,2000,6,611.829820423217
"763",103,2000,7,356.954657737075
"764",103,2000,8,211.858462277738
"765",103,2000,9,212.016759963126
"766",103,2000,10,175.497936958556
"767",103,2000,11,143.918839703407
"768",103,2000,12,145.567822268334
"769",103,2001,1,220.968858947263
"770",103,2001,2,82.8439521463028
"771",103,2001,3,144.545095865311
"772",103,2001,4,117.872778003046
"773",103,2001,5,413.61282995225
"774",103,2001,6,383.531227539389
"775",103,2001,7,467.744112322921
"776",103,2001,8,244.255239359632
"777",103,2001,9,109.822427980207
"778",103,2001,10,72.9185009208389
"779",103,2001,11,135.062902005374
"780",103,2001,12,31.1626372624256
"781",103,2002,1,54.9288445157172
"782",103,2002,2,96.9008575996056
"783",103,2002,3,219.771164098177
"784",103,2002,4,210.051494153333
"785",103,2002,5,387.944241301106
"786",103,2002,6,285.614918558451
"787",103,2002,7,257.204129887324
"788",103,2002,8,354.219535134221
"789",103,2002,9,249.914719795239
"790",103,2002,10,461.332443004073
"791",103,2002,11,265.095357971189
"792",103,2002,12,135.3364356448
"793",103,2003,1,120.537174966533
"794",103,2003,2,58.9382992258556
"795",103,2003,3,72.1726085994167
"796",103,2003,4,110.106114022878
"797",103,2003,5,145.849071121147
"798",103,2003,6,543.231027217439
"799",103,2003,7,237.385301881094
"800",103,2003,8,204.624940958215
"801",103,2003,9,289.540642494956
"802",103,2003,10,164.830319067095
"803",103,2003,11,186.529543483552
"804",103,2003,12,189.746431095856
"805",103,2004,1,38.5341112284206
"806",103,2004,2,64.4526649945117
"807",103,2004,3,139.022095614528
"808",103,2004,4,433.716832299317
